Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning

1,Petroleum Engineering,Bachelors,"$93,200","$187,300",67%

2,Operations Research & Industrial Engineering,Bachelors,"$84,800","$170,400",28%

3,Electrical Engineering & Computer Science (EECS),Bachelors,"$108,500","$159,300",46%

4,Interaction Design,Bachelors,"$68,300","$155,800",55%

5,Public Accounting,Bachelors,"$59,800","$147,700",47%

6,Operations Research,Bachelors,"$83,500","$147,400",54%

7,Applied Economics and Management,Bachelors,"$66,100","$146,400",67%

8,Business Computing (BC),Bachelors,"$73,000","$143,600",-

9,Actuarial Mathematics,Bachelors,"$64,300","$143,400",51%

10,Electrical Power Engineering,Bachelors,"$76,100","$142,600",68%

11,Information & Computer Science,Bachelors,"$58,600","$140,900",62%

12,Aeronautics & Astronautics,Bachelors,"$77,600","$139,600",56%

13,Systems Engineering,Bachelors,"$77,700","$139,200",53%

14,Econometrics,Bachelors,"$64,200","$139,000",35%

15,Pharmacy,Bachelors,"$68,600","$138,700",78%

16,Aerospace Studies,Bachelors,"$55,800","$136,600",-

17,Building Science,Bachelors,"$53,800","$135,900",53%

17,Chemical Engineering,Bachelors,"$76,900","$135,900",55%

19,Cognitive Science,Bachelors,"$68,700","$135,200",42%

20,Actuarial Science,Bachelors,"$67,700","$134,400",43%

21,Political Economy,Bachelors,"$65,100","$133,500",29%

22,Computer Systems Engineering,Bachelors,"$79,000","$133,200",51%

23,Electrical & Computer Engineering (ECE),Bachelors,"$78,100","$131,600",49%

24,Computer Science (CS) & Engineering,Bachelors,"$79,400","$131,300",44%

24,Marine Engineering,Bachelors,"$79,900","$131,300",60%

26,Aeronautical Engineering,Bachelors,"$74,700","$131,100",66%

27,Computer Engineering (CE),Bachelors,"$79,000","$131,000",46%

28,Naval Architecture & Marine Engineering,Bachelors,"$74,400","$130,700",49%

29,Entrepreneurship & Marketing,Bachelors,"$51,400","$129,800",45%

30,Corporate Accounting & Finance,Bachelors,"$65,200","$129,700",55%

31,Mechatronics,Bachelors,"$72,800","$129,600",48%

32,Nuclear Engineering,Bachelors,"$76,400","$129,400",62%

33,Electrical Engineering (EE),Bachelors,"$75,600","$127,700",54%

33,Foreign Affairs,Bachelors,"$54,800","$127,700",36%

35,Marine Transportation Management,Bachelors,"$71,100","$127,500",-

36,Mechanical & Aeronautical Engineering,Bachelors,"$70,900","$126,900",60%

37,Welding Engineering,Bachelors,"$81,000","$126,600",56%

38,Instrumentation & Control Engineering,Bachelors,"$73,100","$126,400",-

39,Computational & Applied Mathematics,Bachelors,"$75,500","$126,000",45%

40,Electrical & Electronics Engineering (EEE),Bachelors,"$74,700","$125,800",56%

41,Aerospace Engineering,Bachelors,"$74,300","$125,700",55%

42,Astronomy,Bachelors,"$66,600","$125,400",47%

42,Optical Science & Engineering,Bachelors,"$71,000","$125,400",-

42,Quantitative Business Analysis,Bachelors,"$74,000","$125,400",37%

45,Computer Science (CS) & Mathematics,Bachelors,"$70,500","$125,100",43%

46,Industrial & Systems Engineering,Bachelors,"$73,100","$124,800",48%

47,Economics and Mathematics,Bachelors,"$68,200","$124,100",35%

48,Biomedical Engineering (BME),Bachelors,"$71,300","$123,600",72%

48,Managerial Economics,Bachelors,"$65,200","$123,600",41%

50,Computer Science (CS),Bachelors,"$75,100","$123,400",42%

50,Physics & Astronomy,Bachelors,"$56,500","$123,400",36%

52,Petroleum Land Management,Bachelors,"$59,300","$123,100",-

52,Bioscience,Bachelors,"$49,200","$123,100",-

54,Electronics & Communications Engineering,Bachelors,"$67,400","$122,900",51%

55,Control Engineering,Bachelors,"$69,700","$122,800",61%

56,Pharmacology,Bachelors,"$57,700","$122,700",-

57,Business Analysis,Bachelors,"$63,200","$122,300",46%

58,Aeronautical Science & Engineering,Bachelors,"$56,000","$122,200",50%

58,Metallurgical Engineering,Bachelors,"$81,800","$122,200",61%

60,Engineering Science,Bachelors,"$67,900","$122,100",45%

61,Applied Mathematics,Bachelors,"$68,300","$122,000",40%

62,Chemical & Biomolecular Engineering,Bachelors,"$76,800","$121,900",48%

63,Materials Science,Bachelors,"$67,100","$121,800",-

64,Engineering,Bachelors,"$69,900","$121,700",59%

65,Ocean Engineering (OE),Bachelors,"$69,400","$121,400",51%

66,Bioengineering (BioE),Bachelors,"$70,900","$121,300",67%

67,Aeronautical/Aerospace Engineering Technology,Bachelors,"$76,900","$121,200",53%

68,Integrated Science & Technology,Bachelors,"$65,200","$121,100",56%

69,Operations Management & Information Systems,Bachelors,"$66,100","$120,900",38%

70,Software Engineering,Bachelors,"$75,000","$120,000",43%

71,Physics,Bachelors,"$65,900","$119,700",48%

72,Quantitative Economics,Bachelors,"$65,000","$119,600",43%

73,Computer & Information Science,Bachelors,"$63,600","$119,500",55%

74,Geophysics,Bachelors,"$58,000","$119,000",47%

75,Accounting & Economics,Bachelors,"$65,900","$118,900",44%

76,Physician Assistant Studies,Bachelors,"$95,900","$118,500",84%

77,Mining Engineering,Bachelors,"$78,800","$118,300",64%

78,Construction Engineering Management,Bachelors,"$68,800","$118,200",57%

79,Mechanical Engineering (ME),Bachelors,"$71,000","$117,600",50%

80,Materials Science & Engineering,Bachelors,"$72,700","$117,500",47%

81,Engineering Mechanics,Bachelors,"$75,500","$117,400",-

81,Industrial Engineering (IE),Bachelors,"$71,900","$117,400",44%

81,International Business & Finance,Bachelors,"$61,400","$117,400",31%

84,Accounting & Computer Systems,Bachelors,"$63,000","$117,300",37%

85,Business & Information Technology (IT),Bachelors,"$60,100","$116,900",44%

86,Applied Physics,Bachelors,"$67,300","$116,500",52%

87,International Economics,Bachelors,"$58,700","$116,300",48%

88,Business & Economics,Bachelors,"$59,600","$116,200",46%

89,Ceramic Engineering,Bachelors,"$69,200","$115,700",-

89,Economics,Bachelors,"$62,000","$115,700",41%

89,Pharmaceutical Sciences (PS),Bachelors,"$52,800","$115,700",69%

92,Telecommunications Engineering,Bachelors,"$66,400","$115,400",47%

93,Information & Decision Sciences,Bachelors,"$65,200","$115,200",33%

93,Materials Engineering,Bachelors,"$72,300","$115,200",58%

93,Paper Science,Bachelors,"$77,000","$115,200",39%

96,Asian Studies,Bachelors,"$47,700","$115,100",41%

96,Structural Engineering (SE),Bachelors,"$67,800","$115,100",66%

98,Industrial Distribution,Bachelors,"$63,600","$115,000",48%

99,Management Information Systems (MIS),Bachelors,"$65,000","$114,100",42%

100,Electronics Engineering,Bachelors,"$69,600","$113,900",66%

